SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-SAM-888,"Front Camera With Proximity Sensor Flex Cable for Samsung Galaxy Note 3",2,0,13.00,6.85,0.69,2.00,4.9700,3.6500,1.9900,1.63,,0.99,0.00,1.76,,,,
FLX-SAM-890,"Samsung Galaxy Note 10.1 Tablet N8000 Charging Port Flex Cable REV 0.5",0,0,0.00,0.00,0.00,0.00,12.9500,10.9900,0.9900,,,0.00,,4.97,,,0.00,
FLX-SAM-892,"Sim Card Memory SD Card Flex Cable for Samsung Galaxy S4 REV 0.3",2,0,7.00,6.32,0.95,1.26,3.9790,3.2900,1.3900,1.22,4.49,0.99,0.00,0.00,,,,
FLX-SAM-902,"Charging Port Gasket for Samsung Galaxy S4 Active i537 ",453,0,0.00,0.00,0.00,0.00,7.9500,5.9900,0.9900,,,,,0.58,,,0.00,
FLX-SAM-906,"Earpiece Speaker Flex for Samsung Galaxy S4 Active",144,0,0.00,0.00,0.00,0.00,8.9500,6.3900,0.9900,,,,,,,,0.00,
FLX-SAM-908,"Front Facing Camera Bracket for Samsung Galaxy S4 Active",254,0,0.00,0.00,0.00,0.00,6.9500,4.4900,0.9900,,,,,,,,0.00,
FLX-SAM-912,"Earpiece Speaker Mesh Cover for Samsung Galaxy S3",136,0,0.00,0.00,0.00,0.00,4.9500,2.4900,0.0000,,,,,0.35,,,,
FLX-SAM-914,"Front Facing Camera Bracket for Samsung Galaxy Note 2",32,0,0.00,0.00,0.00,0.00,5.9500,3.8900,0.9900,,,,,,,,0.00,
FLX-SAM-916,"Front Facing Camera With Proximity Sensor Flex for Samsung Galaxy Note 2",0,0,0.00,0.00,0.00,0.00,5.9500,3.8900,0.9900,0.00,,1.99,0.00,,,,,
FLX-SAM-918,"Antenna Coax Cable With PCB Flex for Samsung Galaxy Note 2",158,0,0.00,0.00,0.00,0.00,3.9500,1.4900,0.9900,,,,,,,,0.00,
FLX-SAM-944,"Home Button for Samsung Galaxy S4 - Purple",39,0,0.00,0.00,0.00,0.00,5.9500,,0.0000,,,,,1.25,,,,
FLX-SAM-946,"Home Button for Samsung Galaxy S4 - Blue",17,0,0.00,0.00,0.00,0.00,5.9500,,0.7900,,,0.15,,,,,,
FLX-SAM-948,"Home Button for Samsung Galaxy S4 - Brown",35,0,0.00,0.00,0.00,0.00,5.9500,,0.0000,,,,,0.00,,,,
FLX-SAM-950,"Home Button for Samsung Galaxy Note 3 - White",16,0,3.00,6.88,1.59,0.67,1.8250,1.5900,0.4900,0.92,,0.00,0.00,0.65,,,0.00,0.00
FLX-SAM-952,"Back Camera Flex Cable for Samsung Galaxy Note 3",4,0,13.00,6.78,0.73,2.03,11.2200,9.4900,2.2900,1.97,8.49,1.50,0.00,,,,0.00,
FLX-SAM-954,"Home Menu Keypad Flex Cable for Galaxy Note 3",21,2,9.00,6.56,1.79,1.64,4.1600,3.3900,1.9900,1.80,0.00,0.00,0.00,,,,0.00,0.00
FLX-SAM-956,"Home Button for Galaxy Note 3 - Black",16,1,3.00,6.88,1.59,0.67,1.5500,1.3900,0.9900,0.00,,0.00,0.00,,,,,
FLX-SAM-958,"Back Camera Lens Cover for Samsung Galaxy Note 3 - Black",3,0,4.00,6.27,0.93,0.79,2.1000,1.7900,1.9900,0.00,,,0.00,1.26,,,0.00,
FLX-SAM-960,"Back Camera Lens Cover for Samsung Galaxy Note 3 - White",8,0,4.00,6.45,3.77,1.20,2.1000,1.7900,1.9900,0.00,,,0.00,1.07,,,0.00,
FLX-SAM-962,"Power Button Vibrator Flex for Samsung Galaxy Note 3",3,0,5.00,6.58,0.99,0.91,3.4100,2.6900,0.9900,0.00,7.49,0.00,0.00,0.00,,,0.00,
FLX-SAM-964,"Antenna Signal Cable Flex for Samsung Galaxy Note 3",5,0,3.00,6.78,0.73,0.55,4.0020,3.2900,0.8900,0.95,,0.30,,0.00,,,0.00,
FLX-SAM-966,"Back Camera Flex Cable for Samsung Galaxy S5",2,0,10.00,6.56,3.73,2.09,6.9900,5.4900,2.1900,2.17,4.49,1.50,0.99,3.26,,,0.00,9.99
FLX-SAM-968,"Front Camera Flex Cable for Samsung Galaxy S5",7,0,7.00,6.85,0.69,1.12,3.5040,2.7900,1.9900,1.63,,0.99,0.00,3.26,,,0.00,5.99
FLX-SAM-970,"Battery Door Water Proof Gasket for Samsung Galaxy S5",21,0,2.00,6.36,0.00,0.31,1.9300,1.6900,0.0000,,,,,0.58,,,,
FLX-SAM-972,"Dual Sim Card Tray Flex for Samsung Galaxy S5 i9600 International ",0,0,12.00,6.13,1.29,2.17,4.8825,3.5900,1.9900,,,0.00,,,,,,
FLX-SAM-974,"Headphone Jack Flex for Samsung Galaxy S5",5,0,5.00,6.78,1.56,0.97,2.9040,2.2900,0.6900,0.50,4.49,0.80,0.00,0.72,,,0.00,
FLX-SAM-976,"Power Button Flex for Samsung Galaxy S5",32,1,0.00,0.00,0.00,0.00,5.9500,,0.9900,1.19,4.49,0.50,0.00,0.00,,,0.00,
FLX-SAM-978,"Vibrator Motor Flex for Samsung Galaxy S5",3,0,5.00,6.85,0.69,0.83,2.4000,2.0900,0.9900,,2.49,0.80,0.00,0.87,,,,
FLX-SAM-980,"Volume Button Flex for Samsung Galaxy S5",12,0,0.00,0.00,0.00,0.00,5.9500,,0.6900,0.64,2.49,0.50,0.00,0.72,,,0.00,
FLX-SAM-982,"Home Button Flex Cable for Samsung Galaxy S5 - Black",2,0,10.00,6.25,0.00,1.60,4.4900,3.6900,1.8900,1.22,7.49,0.99,0.00,3.27,,,0.00,
FLX-SAM-984,"Samsung Galaxy S5 i9600 G900A G900T G900V G900P Home Button Flex White",2,0,10.00,6.25,0.00,1.60,4.4900,3.6900,1.8900,1.53,7.49,0.99,0.00,0.00,,,0.00,
FLX-SAM-988,"Home Button Charging Port Flex for Samsung Galaxy S5 SM G900A ATT ",2,3,18.00,6.85,3.04,3.07,7.6400,7.6400,3.3900,0.00,8.49,,3.99,5.85,,,0.00,0.00
FLX-SAM-990,"Home Button Charging Port Flex for Samsung Galaxy S5 SM G900P Sprint",9,1,15.00,6.72,1.28,2.42,9.2300,7.7900,2.8900,2.98,4.49,3.50,3.99,6.56,,,0.00,5.00
FLX-SAM-992,"Home Button Charging Port Flex Cable for Samsung Galaxy S5 SM G900T T Mobile ",20,1,18.00,6.78,0.50,2.73,8.3400,8.3400,2.8900,2.98,5.49,3.50,0.00,6.51,,,0.00,0.00
FLX-SAM-994,"Home Button Mic Charging Port Flex for Samsung Galaxy S5 SM G900V Verizon ",5,6,20.00,6.70,3.01,3.43,7.3300,7.3300,2.9900,3.00,4.49,3.50,0.00,6.55,,,0.00,5.00
FLX-SAM-996,"Back Camera Flex for Samsung Galaxy S4 Mini",6,0,32.00,6.12,1.13,5.41,9.7380,8.3900,0.9900,,,,,0.00,,,,
FLX-SAM-998,"Charging Port Flex Cable for Samsung Galaxy S4 Mini i9190 i9195 ",0,0,9.00,6.80,2.21,1.65,4.5675,3.3900,0.9900,,,0.00,,3.94,,,,
