SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
FLX-SAM-720,"Samsung Galaxy S3 i9300 T999 i747 i535 L710  Home Button - Black",3.00,6.50,1.72,0.73,1.8500,1.5900,0.0000,,,0.60,0.99,,,,,
FLX-SAM-722,"Samsung Galaxy S3 i9300 T999 i747 i535 L710  Home Button - Blue",0.00,0.00,0.00,0.00,2.9500,0.8900,0.0000,1.99,,0.60,0.99,,,,,
FLX-SAM-724,"Samsung Galaxy Note 10.1 Tablet N8000 Charging Port Flex Cable REV 0.5",15.00,6.50,3.05,2.78,6.0525,4.4900,0.0000,,,3.99,,,,,,
FLX-SAM-725,"Samsung Galaxy Note 10.1 Tablet N8000 LCD Flex Cable",9.00,6.12,1.92,1.78,4.0940,3.2900,0.0000,,,2.99,,,,,,
FLX-SAM-726,"Samsung Galaxy S4 i337 M919 Menu Keypad Buttons Flex Cable",9.00,6.50,1.36,1.59,3.6600,2.9900,0.0000,2.99,7.99,,2.99,,,,,
FLX-SAM-727,"Samsung Galaxy S3 i9300 T999 i747 i535 L710 Power Volume - Red",5.00,6.43,2.22,1.12,2.6900,2.0900,0.0000,,,0.60,,,,,,
FLX-SAM-729,"Samsung Galaxy S4 i9500 i545 i337 Sim Card Memory SD Card Flex Cable REV 1.3",8.00,6.85,1.44,1.38,3.3600,2.5900,0.0000,3.49,4.99,1.99,2.99,,,,,
FLX-SAM-730,"Samsung Galaxy S4 i9500 i9505 i337 i545 L720 M919 R970 Left Coax Cable",0.00,0.00,0.00,0.00,4.9500,2.9900,0.0000,,0.00,0.99,1.99,,,,,
FLX-LGM-170,"LG Optimus 4X HD P880 Charging Port Mic Microphone Flex Cable REV 1.1",0.00,0.00,0.00,0.00,3.9500,1.1900,0.0000,,,0.99,,,,,,
FLX-SAM-731,"Samsung Galaxy Note i9220 N7000 Headphone Ear Peice Audio Jack Speaker Flex Cable",0.00,0.00,0.00,0.00,11.9500,9.9900,0.0000,,,0.99,,,,,,
FLX-SAM-733,"Samsung Galaxy S4 i9500 i9505 i337 i537 i545 L720 M919 R970 Front Camera",5.00,6.32,0.50,0.87,2.1750,1.8900,0.0000,2.99,7.99,0.99,1.49,,,,,
FLX-SAM-736,"Samsung Galaxy S4 i9500 i9505 i337 M919 Sim Card Memory SD Card Flex Cable REV 1.3 / 0.5",5.00,6.85,2.24,1.06,2.5400,1.9600,0.0000,3.49,4.99,1.99,2.99,,,,,
FLX-SAM-738,"Samsung Galaxy S4 i337 M919 L720T Loudspeaker Buzzer - White",8.00,6.82,2.24,1.50,3.6000,2.7800,0.0000,2.99,7.99,,1.49,,,,,
FLX-SAM-739,"Samsung Galaxy Note 10.1 Tablet N8000 Headphone Audio Jack Flex Cable REV 0.3A",0.00,0.00,0.00,0.00,5.9500,3.5900,0.0000,,,2.50,,,,,,
FLX-SAM-740,"Samsung Galaxy S3 i9300 T999 i747 i535 L710  Power Volume - White",0.00,0.00,0.00,0.00,2.9500,0.9900,0.0000,,,0.50,,,,,,
FLX-SAM-744,"Samsung Galaxy Note i9220 N7000 Vibrator Module Flex Cable",0.00,0.00,0.00,0.00,5.9500,3.1900,0.0000,,,0.60,,,,,,
TAB-SRN-158,"Samsung Galaxy Note N8000 10.1 Touch Screen Digitizer - White",0.00,0.00,0.00,0.00,13.9500,17.7900,0.0000,,,12.99,,,,,,
SRN-SAM-252,"Samsung Galaxy S3 Glass - Pink",0.00,0.00,0.00,0.00,5.9500,3.9900,0.0000,,,,1.49,,,,,
SRN-MOT-152,"Motorola Atrix HD MB886 LCD Screen",60.00,6.13,3.68,10.39,16.6240,14.3900,0.0000,13.99,,,,,,,,
