SKU,Title,"Raw Cost","Ex Rate","Shipping Fee","True Cost","Sale Price",MS,FZ,MG,MD
APL-002-1324,"Metal Housing Back Plate Cover for iPhone 4S Lime Green",0.00,0.00,0.00,0.00,0.0000,,,1.99,
SRN-MOT-424,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo White",70.00,6.32,1.00,11.23,0.0000,20.50,,15.50,
SRN-MOT-426,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo Black",90.00,6.46,4.91,14.69,0.0000,20.50,21.99,15.50,19.99
APL-002-1316,"Metal Housing Back Plate Cover for Sprint Verizon CDMA iPhone 4 Purple",0.00,0.00,0.00,0.00,0.0000,,,1.99,
FLX-SAM-1034,"Samsung Galaxy S4 i9500 R12 Rear Camera",32.00,6.31,1.08,5.24,0.0000,6.99,,6.49,1.49
APL-003-1244,"Left &amp; Right Bluetooth Antenna Flex Cable for iPad 2 ",9.00,6.88,0.15,1.33,0.0000,,,1.50,3.99
APL-003-1440,"SIM Card Tray for iPhone 6 Space Gray",4.00,6.85,1.44,0.79,0.0000,1.79,4.99,0.99,
APL-002-1320,"Metal Housing Back Plate Cover for iPhone 4S Magenta",4.00,6.50,1.65,0.87,0.0000,,,1.99,
APL-002-1336,"Back Clear Transparent Glass Housing Plate Cover for ATT GSM iPhone 4 Chrome Mirror",0.00,0.00,0.00,0.00,0.0000,,,,1.49
APL-003-1416,"Home Button for iPad 3 Blue",0.00,0.00,0.00,0.00,0.0000,,,0.50,1.99
APL-002-1294,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Blue",0.00,0.00,0.00,0.00,0.0000,,,0.99,6.49
APL-002-1296,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Purple",0.00,0.00,0.00,0.00,0.0000,,,0.99,6.49
APL-002-1298,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Pink",0.00,0.00,0.00,0.00,0.0000,,,0.99,6.49
APL-002-1300,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Magenta",0.00,0.00,0.00,0.00,0.0000,,,0.99,6.49
APL-002-1302,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Gold",0.00,0.00,0.00,0.00,0.0000,,,,5.49
APL-002-1304,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Electric Blue",0.00,0.00,0.00,0.00,0.0000,,,,5.49
APL-002-1306,"Metal Housing Back Plate Cover for ATT GSM iPhone 4 Silver",0.00,0.00,0.00,0.00,0.0000,,,,5.49
APL-002-1324,"Metal Housing Back Plate Cover for iPhone 4S Lime Green",0.00,0.00,0.00,0.00,0.0000,,,1.99,
APL-002-1330,"Metal Housing Back Plate Cover for iPhone 4S Gray",0.00,0.00,0.00,0.00,0.0000,,,1.50,2.99
APL-002-1332,"Metal Housing Back Plate Cover for iPhone 4S Black",0.00,0.00,0.00,0.00,0.0000,,7.99,1.50,
APL-002-1338,"Back Clear Transparent Glass Housing Plate Cover for ATT GSM iPhone 4 Pink",0.00,0.00,0.00,0.00,0.0000,,,,1.99
APL-001-1180,"LCD and Touch Screen Digitizer for iPod Touch 5 Black",270.00,6.85,6.25,40.33,0.0000,47.50,54.99,48.98,53.99
APL-002-1340,"Back Clear Transparent Glass Housing Plate Cover for ATT GSM iPhone 4 Clear",0.00,0.00,0.00,0.00,0.0000,,,,1.99
APL-002-1350,"Back Housing Cover for iPod Touch 4 Chrome",25.00,6.13,3.36,4.63,0.0000,,,,0.99
FLX-SAM-1036,"Samsung Galaxy S3 i9300 T999 i747 i535 L710  Power Volume - Gray",5.00,6.30,2.28,1.16,0.0000,0.99,,0.30,
SRN-SAM-688,"Galaxy Note 3 N9000 N900A N900T N900P N900V LCD Digitizer Touch Screen White - New",720.00,6.90,12.50,106.16,0.0000,110.00,124.99,135.98,144.99
FLX-LGM-560,"LG G3 D850 D851 D855 VS985 LS990 Power Volume Button Flex",0.00,0.00,0.00,0.00,0.0000,4.79,9.99,,
APL-001-1238,"LCD and Touch Screen Digitizer Assembly for iPhone 6 Black (Standard)",140.00,6.70,4.42,21.56,0.0000,,37.99,20.50,0.00
APL-003-1446,"Charging Dock Port & Headphone Jack Flex Cable for iPhone 6 Plus White",18.00,6.85,0.69,2.73,0.0000,3.99,9.99,3.25,7.99
APL-003-1448,"Wifi Antenna with Wire Flex Cable for iPhone 6 Plus",4.00,6.50,0.55,0.70,0.0000,1.29,7.99,0.95,1.99
APL-003-1466,"WIFi GPS Bluetooth Antenna for iPhone 6",3.00,6.88,1.13,0.60,0.0000,1.94,4.99,,
APL-001-1258,"Front Screen Glass for iPhone 6 Plus White",12.00,6.50,1.06,2.01,0.0000,2.75,9.99,1.20,5.99
