SKU,Name,Manufacturer,Model,Price,"Compatible Models",Parts,"Item Category","Supported Devices"
ACC-APL-1184,"Clear Plastic Color Snap Case for iPhone 5 5S Clear",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
BTY-COV-110,"HTC Evo 4G Full Housing Midframe Chasis Back Battery Cover",HTC,"Evo 4G",9.14,"PC36100 (Sprint)",No,,
APL-003-1004,"Charging Port Flex Cable Assembly for iPad Mini Black",Apple,"iPad Mini 1",2.4900,"A1432 (WIFI)|A1454 (WIFI + Cellular)|A1455 (WIFI + Cellular)",Yes,"Internal Components",
FLX-HTC-452,"HTC Status Main Motherboard Connector Flex Cable",HTC,Status,0.9900,"PH06130 (T-Mobile)",Yes,"Internal Components",
APL-003-1154,"Metal Enclosures for iPhone 5 Black",Apple,"iPhone 5",2.69,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)",Yes,"Internal Components",
APL-003-1156,"Wifi Antenna Ribbon Flex Cable for iPhone 5",Apple,"iPhone 5",0.9900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)",Yes,"Internal Components",
FLX-UCP-108,"LG Optimus Black P970 Charging Port",LG,"Optimus Black",0.4900,,Yes,"Internal Components",
APL-003-1158,"Headphone Jack Bezel for iPhone 4 Black / Silver",Apple,"iPhone 4",0.9900,"A1332 (AT&T)|A1332 (T-Mobile)|A1349 (Verizon)|A1349 (C-Spire)|A1431 (China)|A1387 (Verizon)|A1387 (Sprint)|A1387 (C-Spire)|A1387 (Metro PCS)|A1387 (Cricket)|A1387 (AT&T)|A1387 (T-Mobile)",Yes,"Internal Components","iPhone 4S"
APL-003-1160,"Earpiece Audio Speaker for iPhone 5",Apple,"iPhone 5",0.6900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)",Yes,"Internal Components",
FLX-HTC-440,"HTC Thunderbolt Keypad Light Flex Cable",HTC,Thunderbolt,0.9900,"ADR6400 (Verizon)",Yes,"Internal Components",
APL-003-1162,"Metal Enclosures for iPhone 5 Silver",Apple,"iPhone 5",1.63,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)",Yes,"Internal Components",
FLX-LGM-158,"LG My Touch Q C800 Slide PCB Ribbon Microphone Mic Flex Cable",LG,"myTouch Q",0.9900,"C800 (T-Mobile)",Yes,"Internal Components",
FLX-HTC-443,"HTC myTouch 4G Keypad Keyboard Flex Cable",HTC,"myTouch 4G",0.9900,"PD15100 (T-Mobile)",Yes,"Internal Components",
ACC-APL-1186,"Clear Plastic Color Snap Case for iPhone 5 5S Blue",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
ACC-APL-1194,"Hybrid Heavy Duty Protector Case for iPhone 5 5S Orange",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
APL-002-0833,"Touch Screen Digitizer Mid-Frame Bezel for iPad 2 3 4 Green",Apple,"iPad 2",0.4900,"A1395 (WIFI)|A1395 (EMC 2560) (WIFI)|A1396 (WIFI + Cellular)|A1397 (WIFI + Cellular)|A1416 (WIFI)|A1430 (WIFI + Cellular)|A1403 (WIFI + Cellular)|A1458 (WIFI)|A1459 (WIFI + Cellular)|A1460 (WIFI + Cellular)",Yes,Housing,"iPad 3|iPad 4"
APL-002-0837,"Touch Screen Digitizer Mid-Frame Bezel for iPad 2 3 4 Pink",Apple,"iPad 2",0.4900,"A1395 (WIFI)|A1395 (EMC 2560) (WIFI)|A1396 (WIFI + Cellular)|A1397 (WIFI + Cellular)|A1416 (WIFI)|A1430 (WIFI + Cellular)|A1403 (WIFI + Cellular)|A1458 (WIFI)|A1459 (WIFI + Cellular)|A1460 (WIFI + Cellular)",Yes,Housing,"iPad 3|iPad 4"
ACC-APL-1218,"Low Profile Aluminium Bumper for iPhone 5 5S Brown",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
ACC-APL-1224,"Low Profile Aluminium Bumper for iPhone 5 5S Yellow",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
ACC-APL-1228,"Low Profile Aluminium Bumper for iPhone 5 5S Pink",Apple,"iPhone 5",0.8900,"A1429 (Verizon)|A1429 (Sprint)|A1442 (China)|A1533  (AT&T)|A1533  (T-Mobile)|A1533  (Verizon)|A1533  (Sprint)|A1457 (AT&T)|A1457 (T-Mobile)|A1530 (AT&T)|A1530 (T-Mobile)|A1530 (China)|A1453 (Verizon)|A1453 (Sprint)|A1518 (China)|A1528 (China)",No,Cases,"iPhone 5S"
