SKU,Title,Quantity,"30 Days Item Sale","Raw Cost","Ex Rate","Shipping Fee","True Cost",D1,P1,"Sale Price",MS,FZ,MG,MD,ETS,MC,LL,P4C,CPH
SRN-MOT-616,"Motorola Moto X 2nd Gen XT1095 XT1096 XT1097 LCD Assembly White",1,,620.00,6.70,10.29,94.07,122.2900,113.8900,92.9900,103.00,105.00,0.00,99.99,,,,,
SRN-MOT-628,"Motorola Moto X XT1095 XT1096 XT1097 LCD Assembly White - Grade D - Burn Mark",0,,0.00,0.00,0.00,0.00,69.9500,,0.0000,,,,,,,,,
SRN-MOT-632,"Motorola XT1068 LCD with Digitizer Assembly - Black ",3,,90.00,6.78,7.14,14.33,23.9300,21.9900,17.9900,26.50,,16.99,20.99,,,,,
SRN-MOT-612,"Moto G2 XT1063 XT1064 LCD Assembly",7,1,95.00,6.65,6.50,15.26,28.3900,26.0900,17.9900,26.50,36.99,16.99,24.99,,,,,
SRN-MOT-640,"Moto G2 XT1063 XT1064 LCD Assembly - Grade A",0,,0.00,0.00,0.00,0.00,27.1200,,0.0000,,,,,,,,,
SRN-MOT-611,"Motorola Google Nexus 6 XT1100 LCD Assembly",0,,750.00,6.85,7.75,110.62,145.3600,136.2900,112.9900,118.00,139.99,112.99,,,,,,
SRN-MOT-454,"LCD + Touch Screen Digitizer for Motorola Droid Razr M XT907 Black",0,,110.00,6.60,8.54,17.96,22.9650,20.6900,19.9900,,,,0.00,23.52,,,,
SRN-MOT-643,"LCD + Touch Screen Digitizer for Motorola Droid Razr M XT907 Black - Grade A",0,,0.00,0.00,0.00,0.00,21.8168,,0.0000,,,,,,,,,
SRN-MOT-456,"LCD + Touch Screen Digitizer with Frame for Motorola Droid Razr M XT907 Black",0,,110.00,6.50,7.14,18.02,26.1300,23.9900,0.0000,,,,,24.76,,,,
SRN-MOT-466,"LCD + Touch Screen Digitizer with Frame for Motorola Droid Razr M XT907 Black Grade A",0,,0.00,0.00,0.00,0.00,24.9600,,0.0000,,,,,,,,,
SRN-MOT-518,"LCD + Touch Screen Digitizer with Frame for Motorola Droid Razr M XT907 Black Grade B",0,,0.00,0.00,0.00,0.00,24.6900,,0.0000,,,,,,,,,
SRN-MOT-578,"Motorola Droid Razr HD XT926 LCD + Touch Screen Digitizer Assembly",0,,290.00,6.85,6.71,43.32,59.5700,54.1500,0.0000,,,,,,,,,
SRN-MOT-266,"Motorola Droid Razr HD XT926 LCD + Touch Screen Digitizer Assembly - Grade A",0,,0.00,0.00,0.00,0.00,55.4500,,0.0000,,,,,,,,,
SRN-MOT-268,"Motorola Droid Razr HD XT926 LCD + Touch Screen Digitizer Assembly - Grade B",0,,0.00,0.00,0.00,0.00,55.2300,,0.0000,,,,,,,,,
SRN-MOT-270,"Motorola Droid Razr HD XT926 LCD + Digitizer Assembly - Grade C",0,,0.00,0.00,0.00,0.00,55.0200,,0.0000,,,,,,,,,
SRN-MOT-602,"LCD + Touch Screen Digitizer for Motorola RAZR Droid HD Maxx XT925 XT926 XT926M Black",0,,290.00,6.12,3.74,48.00,66.0000,60.0900,0.0000,,,,,,,,,
SRN-MOT-606,"LCD + Touch Screen Digitizer for Motorola RAZR Droid HD Maxx XT925 XT926 XT926M Black - Grade B",0,,0.00,0.00,0.00,0.00,61.2000,,0.0000,,,,,,,,,
SRN-MOT-604,"LCD + Touch Screen Digitizer for Motorola RAZR Droid HD Maxx XT925 XT926 XT926M Black - Grade A",0,,0.00,0.00,0.00,0.00,59.9500,,0.0000,,,,,,,,,
SRN-MOT-608,"LCD + Touch Screen Digitizer for Motorola RAZR Droid HD Maxx XT925 XT926 XT926M Black - Grade C",0,,0.00,0.00,0.00,0.00,60.9600,,0.0000,,,,,,,,,
SRN-MOT-444,"LCD + Touch Screen Digitizer for Motorola Droid Mini XT1030 White",0,,0.00,0.00,0.00,0.00,25.9500,29.6900,15.9900,19.50,,15.50,17.99,,,,,
SRN-MOT-442,"LCD + Touch Screen Digitizer for Motorola Droid Mini XT1030 Black",4,1,80.00,6.60,1.72,12.38,23.8100,21.8900,14.6900,19.50,14.75,15.50,17.99,29.93,,,,
SRN-MOT-514,"LCD + Touch Screen Digitizer for Motorola Droid Mini XT1030 Black Grade B",0,,0.00,0.00,0.00,0.00,22.5000,,0.0000,,,,,,,,,
SRN-MOT-462,"LCD + Touch Screen Digitizer for Motorola Droid Mini XT1030 Black Grade A",0,,0.00,0.00,0.00,0.00,22.7400,,0.0000,,,,,,,,,
SRN-MOT-440,"LCD + Touch Screen Digitizer for Motorola Moto E XT1021 XT1022 XT1025 White",9,,0.00,0.00,0.00,0.00,19.9500,,13.9900,18.50,,12.99,,19.81,,,,
SRN-MOT-516,"LCD + Touch Screen Digitizer for Motorola Moto E XT1021 XT1022 XT1025 White Grade B",0,,0.00,0.00,0.00,0.00,9.9900,,0.0000,,,,,,,,,
SRN-MOT-464,"LCD + Touch Screen Digitizer for Motorola Moto E XT1021 XT1022 XT1025 White Grade A",1,,0.00,0.00,0.00,0.00,10.9900,,10.9900,,,,,,,,,
SRN-MOT-426,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo Black",2,,90.00,6.56,7.93,14.93,22.5800,20.3900,13.9900,20.50,18.00,12.99,19.99,23.52,,,,
SRN-MOT-526,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo Black Grade B",0,,0.00,0.00,0.00,0.00,21.3700,,0.0000,,,,,,,,,
SRN-MOT-474,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo Black Grade A",0,,0.00,0.00,0.00,0.00,21.4500,,0.0000,,,,,,,,,
SRN-MOT-422,"Motorola Moto G XT1032 XT1036 LCD Touch Screen Digitizer Assembly",2,,150.00,6.50,6.03,24.00,33.9100,31.4900,21.4900,25.50,21.50,19.99,21.99,25.31,,,,
SRN-MOT-438,"Motorola Moto G XT1032 XT1036 LCD and Digitizer Assembly - Grade A",0,,0.00,0.00,0.00,0.00,32.4500,,0.0000,,,,,,,,,
SRN-MOT-576,"Motorola Moto G XT1032 XT1036 LCD and Digitizer Assembly Grade B",0,,0.00,0.00,0.00,0.00,32.2100,,0.0000,,,,,,,,,
SRN-MOT-424,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo White",0,,70.00,6.32,1.00,11.23,17.4065,15.3900,14.9900,20.50,,14.99,,19.81,,,,
SRN-MOT-528,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo White Grade B",0,,0.00,0.00,0.00,0.00,16.1712,,0.0000,,,,,,,,,
SRN-MOT-476,"LCD Screen and Digitizer Assembly for Motorola Moto E XT1021 XT1022 No Logo White Grade A",0,,0.00,0.00,0.00,0.00,16.2835,,0.0000,,,,,,,,,
APL-002-0823,"Charging Port Flex Cable for iPad 1",3,,85.00,6.88,1.36,12.55,19.9200,17.9900,12.9900,,,,,14.94,,,13.00,
FLX-HTC-486,"HTC One SV Power Button Proximity Sensor Flex",22,,0.00,0.00,0.00,0.00,9.9500,,1.4900,,,0.99,,4.52,,,,
FLX-HTC-488,"HTC One SV Main LCD Flex Ribbon",21,,0.00,0.00,0.00,0.00,13.9500,,1.9900,,,0.99,,10.81,,,,
FLX-HTC-492,"HTC Windows 8X 6990L Complete Screw Set",1,,0.00,0.00,0.00,0.00,7.9500,,0.0000,,,,,,,,,
FLX-HTC-494,"HTC Windows 8X 6990L Pair Motherboard Flex Cables",1,,0.00,0.00,0.00,0.00,10.9500,,0.0000,,,,,,,,,
FLX-HTC-508,"HTC Windows 8X 6990L Power Button Flex",18,,0.00,0.00,0.00,0.00,9.9500,,1.9900,,,,,2.74,,,,
FLX-HTC-512,"HTC Windows 8X 6990L Volume Camera Button Flex",24,,0.00,0.00,0.00,0.00,10.9500,,0.0000,,,,,,,,,
FLX-HTC-490,"HTC One SV Charging Port Flex",33,,0.00,0.00,0.00,0.00,9.9500,,0.0000,,,,,14.37,,,0.00,
FLX-HTC-518,"HTC Windows 8X 6990L Wifi And Signal Coax Cable Set",2,,0.00,0.00,0.00,0.00,6.9500,,0.0000,,,,,,,,,
FLX-HTC-520,"HTC Windows 8X 6990L Power Camera Volume Buttons",0,,0.00,0.00,0.00,0.00,8.9500,,0.0000,,,,,,,,,
FLX-HTC-510,"HTC Windows 8X 6990L Charging Port With Mic Flex",5,,0.00,0.00,0.00,0.00,16.9500,,2.9900,,,2.99,,5.40,,,,
