SKU,ItemName,"Raw Cost","True Cost",Default,D1,D3,D10,L1,L3,L10,B1,B3,B10,S1,S3,S10,G1,G3,G10,P1,P3,P10,Dm1,Dm3,Dm10,"is ignored?"
APL-001-2024,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Purple Mirror - Grade B",0,0,16.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-1993,"LCD and Touch Screen Digitizer For IPhone 4S Zebra - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2021,"LCD and Touch Screen Digitizer For Verizon/Sprint IPhone 4 Gray Dalmatian - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2007,"LCD and Touch Screen Digitizer For ATT IPhone 4 Black Dalmatian - Grade A",0,0,17.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-001-2009,"LCD and Touch Screen Digitizer For ATT IPhone 4 Black Dalmatian - Grade C",0,0,15.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1292,"Charging Port Flex Cable for Galaxy S6 Edge G925F",38,5.89,10.7600,10.46,10.61,0,9.99,10.15,0,0,0,0,9.23,9.53,0,9.04,9.23,0,8.69,8.99,0,8.61,8.79,0,0
SRN-SAM-1255,"LCD + Touch Screen Digitizer for Samsung Galaxy S4 Active i9295 i537 Gray - Grade A",0,27.22,38.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-SRN-591,"Hisense Sero 7 Lite Tablet Model E270BSA LCD Screen - Grade C",0,0,18.6600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1286,"Samsung Galaxy A5 Sim Card Tray",0,0,3.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1264,"Samsung Galaxy Note 2 N7100 USB Charging Port",0,0,2.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAB-COV-037,"HP Slate 7 2800 Front Frame Bezel",0,0,5.9500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1258,"Samsung Galaxy Note 2 I605 L900 Left and Right Coax Cables",0,0,1.5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLX-SAM-1268,"Samsung Galaxy Note 2 N7105 Charging Port Flex Cable Rev 0.7",20,3.34,7.0140,6.346,6.513,0,5.845,6.012,0,0,0,0,5.344,5.678,0,5.177,5.511,0,5.09,5.19,0,4.9098,5.01,0,0
TAB-COV-040,"Hisense Sero 7 Lite Tablet Model E270BSA Rear Housing - Grade B",0,0,6.2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APL-003-1476,"iPhone 4S Metal Bracket Volume Button Fastener",0,0,2.9500,1.39,1.45,0,1.39,1.45,0,0,0,0,1.49,1.45,0,1.49,1.45,0,1.49,1.49,0,1.49,1.45,0,0
SRN-MOT-612,"Moto G2 XT1063 XT1064 LCD Assembly",120,19.42,28.3900,27.71,27.9,0,26.63,27.02,0,0,0,0,26.43,26.63,0,26.04,26.24,0,25.69,25.89,0,25.45,25.65,0,0
TAB-COV-078,"Visual Land Prestige 7G Model ME-7G Rear Housing - Magenta - Grade A",0,0,9.4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
