"Date Updated",User,SKU,"Item Name","Price Type","Old Price","New Price"
"2018-06-07 12:37:29",Faheem,SRN-SAM-1532,"LCD and Touch Screen Digitizer for Samsung Galaxy J7 (J700) 2015 - Gold","Platinum 1",$94.99,$119.89
"2018-06-07 12:40:54",Faheem,SRN-SAM-1530,"LCD and Touch Screen Digitizer for Samsung Galaxy J7 (J700) 2015 - Black",Sale,$63.99,$63.69
"2018-06-07 12:40:55",Faheem,SRN-SAM-1530,"LCD and Touch Screen Digitizer for Samsung Galaxy J7 (J700) 2015 - Black","Platinum 1",$94.99,$119.89
"2018-06-07 13:05:01",Faheem,APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black",Sale,$12.69,$11.49
"2018-06-07 13:05:01",Faheem,APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black","Default 1",$17.09,$17.95
"2018-06-07 13:05:01",Faheem,APL-001-0276,"LCD and Touch Screen Digitizer for iPhone 4S Black","Platinum 1",$13.99,$17.95
"2018-06-07 13:05:41",Faheem,APL-001-0588,"LCD and Touch Screen Digitizer for iPod Touch 4 Black",Sale,$12.89,$11.19
"2018-06-07 13:05:42",Faheem,APL-001-0588,"LCD and Touch Screen Digitizer for iPod Touch 4 Black","Default 1",$16.44,$19.99
"2018-06-07 13:05:42",Faheem,APL-001-0588,"LCD and Touch Screen Digitizer for iPod Touch 4 Black","Platinum 1",$13.25,$19.99
"2018-06-07 13:06:31",Faheem,SRN-MOT-660,"LCD and Touch Screen Digitizer for Motorola Moto Z Droid XT1650-01 - Black",Sale,$106.89,$95.59
"2018-06-07 13:06:32",Faheem,SRN-MOT-660,"LCD and Touch Screen Digitizer for Motorola Moto Z Droid XT1650-01 - Black","Platinum 1",$106.89,$137.96
"2018-06-07 13:23:21",Faheem,FLX-SAM-756,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i337 M919 USB ",Sale,$2.69,$2.29
"2018-06-07 13:23:21",Faheem,FLX-SAM-756,"Charging Port Microphone Flex Cable for Samsung Galaxy S4 i337 M919 USB ","Platinum 1",$4.39,$5.99
